cluster,cumulative_gpa,academic_hours,training_hours,total_warnings_max,consecutive_warnings_max,year1_fall_gpa,year1_spring_gpa,year1_total_courses,year1_passed_courses,year1_failed_courses,year1_avg_grade,year1_max_grade,year1_min_grade,year2_fall_gpa,year2_spring_gpa,year2_total_courses,year2_passed_courses,year2_failed_courses,year2_avg_grade,year2_max_grade,year2_min_grade,year3_fall_gpa,year3_spring_gpa,year3_total_courses,year3_passed_courses,year3_failed_courses,year3_avg_grade,year3_max_grade,year3_min_grade,year4_fall_gpa,year4_spring_gpa,year4_total_courses,year4_passed_courses,year4_failed_courses,year4_avg_grade,year4_max_grade,year4_min_grade,total_courses,passed_courses,failed_courses,avg_numeric_grade,highest_grade,lowest_grade,semester_gpa_count,overall_semester_gpa_avg,years_available,complete_four_year_record,year1_avg_gpa,year2_avg_gpa,year3_avg_gpa,year4_avg_gpa,gpa_trend_y1_y2,gpa_trend_y2_y3,gpa_trend_y3_y4,total_failed_courses_engineered,total_courses_engineered,failure_rate,overall_gpa_history,military_status_numeric
0,2.89,134.687,194.093,0.114,0.06,2.48,2.708,12.523,12.359,0.164,2.596,3.798,1.194,2.512,,6.103,6.068,0.036,2.513,3.032,1.846,3.057,2.97,12.217,12.203,0.014,3.017,3.661,2.136,3.292,3.116,9.851,9.722,0.011,3.209,3.927,2.52,40.694,40.352,0.224,2.86,3.971,1.098,6.907,2.878,3.954,0.954,2.594,2.512,3.013,3.204,-0.084,0.501,0.188,0.224,40.694,0.005,2.832,0.984
1,2.433,132.266,175.869,1.313,0.883,1.99,2.159,10.995,10.192,0.804,2.065,3.53,0.477,1.942,,5.734,5.449,0.285,1.945,2.606,1.022,2.456,2.176,9.86,9.453,0.407,2.322,3.274,0.912,2.824,2.669,11.304,11.009,0.07,2.79,3.854,1.76,37.893,36.103,1.565,2.337,3.896,0.218,6.421,2.324,3.706,0.757,2.075,1.942,2.316,2.746,-0.118,0.368,0.407,1.565,37.893,0.042,2.272,0.978
